,指数代码,指数简称,指数@收盘价:不复权[20231122],指数@涨跌幅:前复权[20231122],指数@同花顺概念指数,market_code,code
0,886060.TI,短剧游戏,1180.908,3.8606,同花顺概念指数,48,886060
1,886059.TI,智能座舱,1043.276,-2.3402,同花顺概念指数,48,886059
2,886058.TI,华为昇腾,1242.9,-1.2411,同花顺概念指数,48,886058
3,886057.TI,新型工业化,1126.209,-1.4638,同花顺概念指数,48,886057
4,886056.TI,阿尔茨海默概念,1022.481,-0.3813,同花顺概念指数,48,886056
5,886055.TI,星闪概念,1053.121,-1.4321,同花顺概念指数,48,886055
6,886054.TI,光刻机,1095.802,-2.072,同花顺概念指数,48,886054
7,886053.TI,BC电池,936.159,-1.9955,同花顺概念指数,48,886053
8,886052.TI,核污染防治,996.421,-1.0564,同花顺概念指数,48,886052
9,886051.TI,减肥药,1170.559,-0.5816,同花顺概念指数,48,886051
10,886050.TI,算力租赁,1078.092,-0.7729,同花顺概念指数,48,886050
11,886049.TI,空间计算,949.322,-0.2857,同花顺概念指数,48,886049
12,886048.TI,英伟达概念,994.51,-2.3883,同花顺概念指数,48,886048
13,886047.TI,脑机接口,1091.468,-0.7211,同花顺概念指数,48,886047
14,886046.TI,MR（混合现实）,1015.762,-2.2828,同花顺概念指数,48,886046
15,886045.TI,同花顺中特估100,877.668,-0.8121,同花顺概念指数,48,886045
16,886044.TI,液冷服务器,912.818,-2.0001,同花顺概念指数,48,886044
17,886043.TI,太赫兹,1099.513,-1.612,同花顺概念指数,48,886043
18,886042.TI,存储芯片,1007.784,-1.2726,同花顺概念指数,48,886042
19,886041.TI,数据要素,1015.179,0.1046,同花顺概念指数,48,886041
20,886040.TI,MLOps概念,910.718,-1.2148,同花顺概念指数,48,886040
21,886039.TI,ERP概念,1031.569,-1.4899,同花顺概念指数,48,886039
22,886038.TI,超导概念,1111.105,-1.6137,同花顺概念指数,48,886038
23,886037.TI,6G概念,1239.167,-1.8983,同花顺概念指数,48,886037
24,886036.TI,时空大数据,1128.822,0.0643,同花顺概念指数,48,886036
25,886035.TI,毫米波雷达,1180.729,-1.3007,同花顺概念指数,48,886035
26,886034.TI,数字水印,946.896,-0.0682,同花顺概念指数,48,886034
27,886033.TI,共封装光学（CPO）,1574.552,-2.7108,同花顺概念指数,48,886033
28,886032.TI,固态电池,789.203,-1.7228,同花顺概念指数,48,886032
29,886031.TI,ChatGPT概念,1507.549,-0.5067,同花顺概念指数,48,886031
30,886030.TI,成飞概念,1122.08,-1.0296,同花顺概念指数,48,886030
31,886029.TI,蒙脱石散,1155.136,-0.0515,同花顺概念指数,48,886029
32,886028.TI,血氧仪,1089.991,-0.3491,同花顺概念指数,48,886028
33,886027.TI,新冠特效药,741.729,-0.2614,同花顺概念指数,48,886027
34,886026.TI,POE胶膜,785.109,-1.4894,同花顺概念指数,48,886026
35,886025.TI,熊去氧胆酸,1025.717,-0.6056,同花顺概念指数,48,886025
36,886024.TI,抗病毒面料,963.961,-0.6104,同花顺概念指数,48,886024
37,886023.TI,数据确权,1395.645,0.9773,同花顺概念指数,48,886023
38,886022.TI,抗原检测,925.323,-0.6487,同花顺概念指数,48,886022
39,886021.TI,国企改革,1081.728,-0.374,同花顺概念指数,48,886021
40,886020.TI,PET铜箔,884.757,-1.2087,同花顺概念指数,48,886020
41,886019.TI,AIGC概念,1544.026,0.3331,同花顺概念指数,48,886019
42,886018.TI,高压氧舱,1060.925,-0.4963,同花顺概念指数,48,886018
43,886017.TI,Web3.0,1549.712,0.1195,同花顺概念指数,48,886017
44,886016.TI,供销社,1102.041,0.1679,同花顺概念指数,48,886016
45,886015.TI,创新药,1130.796,-0.7246,同花顺概念指数,48,886015
46,886014.TI,世界杯,1294.872,-0.6245,同花顺概念指数,48,886014
47,886013.TI,信创,1514.691,-0.2751,同花顺概念指数,48,886013
48,886012.TI,宠物经济,1057.69,0.4202,同花顺概念指数,48,886012
49,886011.TI,光热发电,819.107,-1.3104,同花顺概念指数,48,886011
50,886010.TI,空气能热泵,1014.656,-1.6001,同花顺概念指数,48,886010
51,886009.TI,先进封装,1258.917,-1.3427,同花顺概念指数,48,886009
52,886008.TI,减速器,1138.438,-2.0488,同花顺概念指数,48,886008
53,886007.TI,TOPCON电池,894.978,-2.1769,同花顺概念指数,48,886007
54,886006.TI,钙钛矿电池,820.616,-2.0599,同花顺概念指数,48,886006
55,886005.TI,生物质能发电,843.39,-0.5556,同花顺概念指数,48,886005
56,886004.TI,虚拟电厂,1112.276,-1.2213,同花顺概念指数,48,886004
57,886003.TI,钒电池,1027.717,-1.1926,同花顺概念指数,48,886003
