date,title,link
20240131 21:31:51,Lagom实盘【2024-01】开门黑,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485749&idx=1&sn=4a53197e0f434e6057b61cdd7b0a9ac6&chksm=ead1e23ddda66b2b703e837c4b92648d987a8fe78d12822e42704f8e689346b07eee1cefb6fa#rd
20240115 16:38:36,2023年度市值打新收益全统计,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485739&idx=1&sn=1a7409ea58f265911139508a8b3199e2&chksm=ead1e223dda66b35684f8af0c5df4263c0e072f41fff7ab906d104b1c664b8c4c9fd9548bd33#rd
20231231 15:08:00,Lagom投资【2023年报】,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485730&idx=1&sn=de30afe33acab97151302cda830c1a6a&chksm=ead1e22adda66b3c25bc9affca38b2118b10335f92a7b2fadc8c22f67ed4be0d9fd798d314ed#rd
20231130 21:33:57,Lagom实盘【2023-11】,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485711&idx=1&sn=887aece86c0ac587c2535aa341640a0b&chksm=ead1e207dda66b11f0f55c7176d86e0abcecf520d63f4aad19bc6576fd27e75d770692a18f13#rd
20231101 11:37:31,Lagom实盘【2023-10】,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485699&idx=1&sn=76bede480d7385dbd8ba387e4d52a5f5&chksm=ead1e20bdda66b1da29b02970e8355c8b011ea0b0a106470946406281b9d96a25b994033b419#rd
20230926 07:29:00,我的投资组合【2023-09】,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485689&idx=1&sn=342a411272168b014caa64a88f02820c&chksm=ead1e3f1dda66ae73f094770d9a6354ed5fe71c028bfb533c1429761eb9527badad207f2cae0#rd
20230924 19:56:52,我的投资组合（序）几点说明,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485675&idx=1&sn=b75c439efddc697d99d30cf01b9c9e34&chksm=ead1e3e3dda66af5171c9f29ee7932dc1ee2aae226d1f191b3e3c6023b8cdaef06801d3c3cee#rd
20230831 21:08:47,Lagom实盘【2023-08】,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485665&idx=1&sn=5ca477cf6cbeaebd2419d6415c85ce8e&chksm=ead1e3e9dda66aff4a0375a8cf6f41268cf6bbc3e12cb7d7c4eda547e70e1a764bfb4b492b5b#rd
20230813 12:50:56,晃来晃去的人 - 职业投资者的困惑,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485656&idx=1&sn=9974939fa2e785e38718790ae36bbbf1&chksm=ead1e3d0dda66ac6ff9255e1c2cd6e6de5f26160fc59af9f171992e1271599ce6b75d6eec0d8#rd
20230731 19:54:47,Lagom实盘【2023-07】,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485646&idx=1&sn=97adee7cf34e288095698494f58667be&chksm=ead1e3c6dda66ad0ebc7c9de8adc1021be68970c9ae42fe5dfcaa14c4dd74d43cb43e30aed9a#rd
20230702 11:40:05,Lagom实盘【2023半年报】,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485636&idx=1&sn=345678d6a1121163ca2d3127b711b9f0&chksm=ead1e3ccdda66ada962b4ecc7eb5ba704a7c7bc3dbb3a80e2e9a14dc5300b37538727bef9765#rd
20230531 18:02:23,Lagom实盘【2023-05】,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485624&idx=1&sn=bd5da98ad99c23bba21a9ae2f3968eac&chksm=ead1e3b0dda66aa675c135f74261fe9eb714f4b657966a1be33c81f3f3b11421ad4b255f92d8#rd
