date,title,link
20240122 20:58:07,站在更大的视角下，去看待跳槽这件小事,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492673&idx=1&sn=a268c0f4afc66739fa03567602a09832&chksm=c0f519b5f78290a37e971059c1131c28a583a098276910a826e7be05608ed8e37c6801635bd8#rd
20240121 21:38:34,抓住一个信息差，一年赚80万,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492650&idx=1&sn=14fae9d40163692239247bbd6f18ad17&chksm=c0f519def78290c834038c8da3726b0c30e3bdb4475b5aa753beb7186e97beb7d23861a95b1f#rd
20240120 21:47:29,做捞女不一定是商业最优解,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492619&idx=1&sn=e53dba06913491752cd54d9354601b95&chksm=c0f519fff78290e9706df76c1d197b38424ca626ad8fc190f7d1e0f7b15b33f8068784f7c528#rd
20240119 21:56:52,内鬼出现！发了那么多钱，就是流不进实业？,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492593&idx=1&sn=e34ebafa79f587077f5cea7ecb3ba0fd&chksm=c0f51e05f7829713dd4484608853e63e62720db767c24e356e6787d17701499bf0b4d5011272#rd
20240118 22:30:44,跃迁、结构与窗口期,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492565&idx=1&sn=e405c63d3828090b4d26b35993e75309&chksm=c0f51e21f782973757af28ec49575ceef0043c24fc97ef55e7718cf55faece8f32a888ce1e4f#rd
20240118 22:30:44,阶级跃迁，从改变收入结构开始,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492565&idx=2&sn=1264b1551941b3525c6a07bd46cd8dc8&chksm=c0f51e21f7829737fd80a36116c525e05f2b339b3b8238e0355d91471a19ba242f7c2b3ac3a1#rd
20240117 22:25:02,阶级跃迁，从改变收入结构开始,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492535&idx=1&sn=b6cb20868bde08aa5c170354aa96e729&chksm=c0f51e43f7829755fde19dfeccec470af58126112761381a313bac0ac27cba5f5c79f89cb8ff#rd
20240116 23:22:48,如何在各种信息差和误导中找到真相？,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492445&idx=1&sn=11b4e61ccd591a66f19bda8e6e469d38&chksm=c0f51ea9f78297bfa2c017ee066ab671f64e7a161e2448141c1fbbdf9e4469edcd9164680024#rd
20240115 22:28:32,如何理解，你以为的不一定是你以为的？,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492425&idx=1&sn=1deac9af5ad022c14d02c0455f7489fa&chksm=c0f51ebdf78297ab227c6bc753a93a73ceb74632600a002e0b3e3290cb384369ddbd51f40287#rd
20240114 22:16:12,商业结构不对，亏损1.4个亿,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492360&idx=1&sn=c1d503787e343d9dae00c639afd5f88f&chksm=c0f51efcf78297ead7176864e5bea9eca8bae71cd1fe4b7ccf0ee88622159ca9b981feb10fd7#rd
20240113 23:11:39,没关系的，都一样,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492335&idx=1&sn=c7b4ea2805138c247076d59d7219860b&chksm=c0f51f1bf782960dca53389f25a6d9b43c9206f7845e61356a412eb40859d2898eb0b5cb828b#rd
20240113 22:32:00,没关系的，都一样,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492310&idx=1&sn=1688e13cd275f9e5f9944c1fbaf40d32&chksm=c0f51f22f7829634cd10d79728ae94e9be5371e650a421b02af65b6b37fffe4eea441db2ec60#rd
20240113 22:17:17,没关系的，都一样（速看，随时可能被撸）,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492309&idx=1&sn=b0a8c01b9055062c9d0965aa2654fa5e&chksm=c0f51f21f7829637138b7edbce869e4a9416f013c7b6a51a1f838ce6a39fc043f520e19fe021#rd
20240113 21:54:33,没关系的，都一样（速看，随时可能被撸）,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492308&idx=1&sn=999f77e42c2ee95cc18b7932b1d3dc98&chksm=c0f51f20f7829636ea0af2097d283bd04a57b9a0debd81859dddc157f163625ed542fe7bc559#rd
20240112 21:48:16,程前最大的问题，在于他也觉得自己有问题,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492284&idx=1&sn=ac3fc22e1c778383b88e005efcc6e840&chksm=c0f51f48f782965e25306fa225e28c220c892f5c058bab4c41057ac1d1fb836120a40de00a10#rd
20240111 21:56:48,一只无形的手，不断把普通人往死路上逼,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492257&idx=1&sn=5364c9f881a2b5841052d43c8b43326a&chksm=c0f51f55f7829643566b73a1bf6b0e0048f385a09f9a5532946f9aea114cb6aa77f37930582e#rd
20240111 21:49:27,一只无形的手，不断把普通人往死路上逼,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492256&idx=1&sn=ac51acf80e4eefa7a42c339e78269b44&chksm=c0f51f54f78296423499699e97ef80254426293bcf715fa2fc2d68f6a24b23cc8be774523f98#rd
20240111 21:47:04,一只无形的手，不断把普通人往死路上逼,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492255&idx=1&sn=b22f74c73e094bf1a5c533769c4f363b&chksm=c0f51f6bf782967deb92d2bb236252a3696accdadf9e5699262a6d46d4dccb305e7c1f2d8dbe#rd
20240111 21:16:15,一只无形的手，不断把普通人往死路上逼,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492254&idx=1&sn=98b94713359e9aee0714fc709a50c66d&chksm=c0f51f6af782967ced3d309bad1316412ede6f0f214e93ab2c3574b75482c921c5b6d079b9d0#rd
20240110 21:00:00,又出现了！10年前暴富的机会，压着韵脚往日重现,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492237&idx=1&sn=b8010fba51497bd2f010593fa85e85c9&chksm=c0f51f79f782966f0bb2fe8f590f749e83f4f94d88afbba50a153af39a41a7f88d52148fbd66#rd
20240109 22:45:15,做到行业前三怎么进一步发展？双非博士怎么阶级迁跃？——万叔商业问答第19期,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492209&idx=1&sn=0b51a81e61f6ed78890a0975c0121245&chksm=c0f51f85f78296931668fdae538c037d21b464633fead01b8abbcc1c456136a64eb73496d5ae#rd
20240108 21:00:00,《繁花》里变成宝总的阿宝，你学不来,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492191&idx=1&sn=77b2c5e0c2048cd958b3f0c8befd4422&chksm=c0f51fabf78296bd938bf7598c44f9923fee22e8c709d7aad4c21bdc4744134775bc3d02c6aa#rd
20240107 23:28:17,关于房价未来的趋势，你以为的全是错的,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492172&idx=1&sn=718d63f1677f693c473a465c74145b0e&chksm=c0f51fb8f78296ae06402d109cbcb52cc5091c692710bab6669080fd274452774d34af5a1ec4#rd
20240106 22:46:10,广州开始发城市购物卡,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492153&idx=1&sn=4d39af5d73701a9cc0303d04d13bfdbd&chksm=c0f51fcdf78296db60f78f957b5e5db745f3269f10fc714087cbba0197034939c12a57b8c0ad#rd
20240105 22:10:58,南方小土豆，引起了哪些人的不适？,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492132&idx=1&sn=3fa49b6d2ca5f46e517f86b8e2cf5ceb&chksm=c0f51fd0f78296c670cdb34e9213cc54e1a1a1178a89b37cd87dfc62b88e31cbc6f6195aff5c#rd
20240104 20:53:51,为什么多数人的转型，要经历痛苦的过程？,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492111&idx=1&sn=25f83f62536ea6883d185b14b39d59e3&chksm=c0f51ffbf78296ed73192ea8251fd573d169094ed15c25a6c73aa72c80b835098dbbca764d2f#rd
20240103 21:05:41,分化时代里的前4％,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492100&idx=1&sn=12b5b5e991ac65ba42e4f218c1f311d0&chksm=c0f51ff0f78296e6215b15db11c56103355c700001dd789ebf97612c23e21cc2981f64085061#rd
20240102 21:00:00,“普通人”罗振宇的跃迁之路,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492063&idx=1&sn=4b341e81ffaa8adc09136e122e71e8db&chksm=c0f51c2bf782953def2d29edee7da8772f703d9128473b1adcea00b8dfde82df114347483161#rd
20240101 21:00:00,从信息分层的角度看，《饥饿站台》讲了个什么故事？,http://mp.weixin.qq.com/s?__biz=MzkwNTQ0MDQxMQ==&mid=2247492027&idx=2&sn=ca948bf1b76202e83c0f974590b95c82&chksm=c0f51c4ff7829559d76dfba4dacbaef9e7d41c7557e8f257f43db5f292edd8082c781d5f766c#rd
