date,title,link
20230303 22:03:26,黑石正式暴雷了，赶紧抛售美元资产逃命吧！,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499728&idx=1&sn=69137ca19433fd17711d72f4b6f8ae81&chksm=fa75f127cd027831099215f2f9843c31b7def76207ca89c98eb2cfdf087a91fa5a494553cd48#rd
20230302 18:25:56,集中解疑,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499723&idx=1&sn=d5517aa17bfe11b55b3df4b2e95c01de&chksm=fa75f13ccd02782ae17266855aa7063eaf311714f601004511337442cdd8e0823fd8fdc27c1d#rd
20230301 22:14:01,三月必看：牛市要抓主线，不要跑偏了,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499719&idx=1&sn=407ee540de576f0908389accde4f3460&chksm=fa75f130cd0278264812d234b5c996f91a301a0f0efe1c1ff0bfef297573f87f22cf2c5b9448#rd
20230228 21:50:04,美国为什么要针对我们,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499715&idx=1&sn=ad4a6ebb692325f1a96f076738c73485&chksm=fa75f134cd027822dd714a0298889d736a6b4f007f28e2eb1d81c54750f340329d75c756c69f#rd
20230227 22:30:49,做空印度容易，狙击莫迪太难,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499706&idx=1&sn=58aa6b2fea50fd5fb4abb02e730fc0c2&chksm=fa75f14dcd02785baa35af7fc1da4f1ca43de84bfcd59cb8273dffefab91a6e83c3868bae335#rd
20230226 22:10:56,悲观的人永远正确，但乐观的人会过好一生,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499701&idx=1&sn=97de8cef380752fe77d06a5ac2617f43&chksm=fa75f142cd027854bb5b4bb99c72189dcf24eb6c14b7dd42b8b693c6bf3871a14e8176624144#rd
20230225 21:45:50,聊聊暴涨的美元指数,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499696&idx=1&sn=57784d0ed594f280ccae0e9e092cd743&chksm=fa75f147cd02785197044e47283fe3971ae291e540a3595dfa01ec5f80cd823f57605e460ea4#rd
20230224 17:57:39,俄乌战争一周年,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499691&idx=2&sn=9441c32e2a948a714ed1c6b5db327ff9&chksm=fa75f15ccd02784a4dc5a125c0eb18b72076ceb9822fbf19ca0c39f012af35417c757fa4f931#rd
20230223 20:27:55,五名环保顾问被空难，都怪川宝瞎掺和,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499686&idx=1&sn=e298241f64d5f3b67f6fd4e1fe1ac75a&chksm=fa75f151cd027847fbff12a675642560a852fb6d5fe96afc7f09d4c4f45b418016cdf9fd92b7#rd
20230222 20:52:53,别做梦了，真指望不动产私募股权基金去救市？,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499671&idx=1&sn=a981563daeaaddc613bdd6b27d88c523&chksm=fa75f160cd0278765c4e1402a70d2c2ca4eab318c0cdb9ed61b51c7b21a6c35c5667d506d8e9#rd
20230221 20:08:57,聊聊外贸出口下滑的这件事,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499653&idx=1&sn=8da09bf460b03b401b960e9510c7f9a7&chksm=fa75f172cd027864c8cd416d64a4a29243457195a39667c187738816a8c53d4ff16ed381e25e#rd
20230220 22:01:48,00后开始抢“砖家”们的话筒了,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499648&idx=1&sn=f9ba68e42e06d0589d718ba903ebe80b&chksm=fa75f177cd027861ba7fd3cb4bd29734f0f83969285da4be8ebe737e7f931a11e6411135b9da#rd
20230219 20:21:46,北溪被炸和美国化学品爆炸,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499640&idx=1&sn=9314cdd3494c37fa266a985101df20fe&chksm=fa75f18fcd0278999c7c2fc0a418eb36edfb446cdc6aa33f6c0d78eb11c1737d071edb02f4b8#rd
20230218 20:00:00,全面注册制来了，不必悲观,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499636&idx=1&sn=135d75138da2b2da723df858c10ea333&chksm=fa75f183cd027895e57a688dc80a9763a0fd57e8c4dc8d00b463c3d8ba6ad59b20f9a199b1f7#rd
20230217 21:04:09,也来说说为啥印度坚持暴打外国公司,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499633&idx=1&sn=16bcaf39749efd53d172c0acdf917e8f&chksm=fa75f186cd027890a20430a97b7c860c3d7359910d6198d304bbe59b0c095cb660c3b995b1e8#rd
20230215 21:46:45,聊聊有意思的美国CPI数据,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499558&idx=1&sn=12520095ddf6a91bd2d064bfba9a44de&chksm=fa75f1d1cd0278c7d1d113488ce2c692cea501e63b202561fc16792c16752e6746a7c28a44e9#rd
20230214 21:35:46,藏在美国化学品大爆炸背后的巴菲特,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499551&idx=1&sn=a3c7bf79beefbffd3a33b46da209fd1d&chksm=fa75f1e8cd0278fe650f974bd5f317fc3beb9a106648167709936763e6bbcd3230d61081452c#rd
20230213 20:00:00,掺和俄乌冲突，欧洲图的是什么？,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499545&idx=2&sn=a8fc7ac7736979a2428f5a201c4ba05f&chksm=fa75f1eecd0278f8ccf37ff297585441ce984f62459963de00b783207515f35d9834f0efa176#rd
20230212 19:09:55,聊聊一月份的社融数据,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499541&idx=1&sn=33ec19ca01a66a38fb4bf1da0a7cad7f&chksm=fa75f1e2cd0278f4a4f0510342bb489d7afbf1e87a4bd88a4dc03fcbb1a8676b320382afafff#rd
20230211 20:51:54,警惕ChatGPT的科技洗脑大法,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499526&idx=1&sn=3965001f15f5b52974be3cdd75a57e23&chksm=fa75f1f1cd0278e7e957b0f8cc09dff1d4e8d7a574bf90f9c11dc1f94aa9783bdc21f0567f40#rd
20230210 21:43:16,土耳其大地震，帮了普京一个大忙,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499501&idx=1&sn=b0335794fdc974e14087144bfe351a9b&chksm=fa75f01acd02790c465d83f6929b06e235a63889ad510c885a8c2997a088de5f18448b41fcde#rd
20230208 22:43:14,突然之间，房地产就成了“困难行业”,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499494&idx=1&sn=77dd9050968f4f9b376d2cdd29c6483f&chksm=fa75f011cd0279074e00706637e38396e902ee62acf7bbe3736793f00fe0c9c957dc733e60a1#rd
20230207 20:42:00,别把AI吹得太高了,http://mp.weixin.qq.com/s?__biz=MzUyNzk4MTQ2NA==&mid=2247499481&idx=1&sn=5fdb90ec00e4caec26ab3ddce302807a&chksm=fa75f02ecd0279382ed0d7acd5e2f3530a4bbccc174709af3c667a89127422b8632b2ee0e3fc#rd
