date,title,link
20181231 11:50:41,年底说几句心里话,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247483869&idx=1&sn=b1ffb5b8d93ef0a89ef1a494ea7c2c2d&chksm=f9089f98ce7f168e1eec95a916235aadfa23be59b171a9de25106a0585f16c443de034530cc6#rd
20181230 13:33:00,2019展望,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247483862&idx=1&sn=f65bad57132b24ecbb700745c7b5d84c&chksm=f9089f93ce7f16853d8c1285b399182f3632f66fcf7ea8d9b7f731b9913227c7064eb0f161dd#rd
20181228 07:20:04,不要在底部区域割肉,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247483854&idx=1&sn=3b7b933909c234389679ead79ac7e786&chksm=f9089f8bce7f169db1fc696a1343dd878e5b3ce0e5b09696e12f6751b7c43ed3303ce5c68a01#rd
20181226 07:51:23,不要被市场外的声音左右,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247483789&idx=1&sn=3428c1ccc46a12a5d73c3831c6a1f80a&chksm=f9089fc8ce7f16dea72d516518f5fd210775a698d0958105bac488dea8d862ae2b63b8cde147#rd
20181225 07:17:00,回顾我11月9日的一篇博客文章（后续）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247483782&idx=1&sn=7c0aeffd2833d313ae8c02f7146d880c&chksm=f9089fc3ce7f16d50c6bbd1649452db1a05aef548fe192e221b0c4f5c6d2eb52767ad30089ba#rd
20181224 12:50:32,多谢陶博士的无量功德,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247483777&idx=1&sn=6612042936f22786528813893c5eaeee&chksm=f9089fc4ce7f16d257ec954bfa93dd2e38837494258896c5da0514c76f94b8dbe4b2b814773b#rd
20181220 18:50:09,我不是每次都能一天不差的推断,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247483770&idx=1&sn=55dc903c57eeb2872c0d788dace696e1&chksm=f9089f3fce7f16297985421090cc01c2eff8b15f63691fae246e842cc39fd347aa7e062ad66f#rd
20181215 12:57:19,下周走势分析,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247483754&idx=1&sn=37a0e23b12587f224997f4d30ebacf2a&chksm=f9089f2fce7f1639577ff2807d779702c766bf1b0cf8443321f6abcf023002df17e9dc5f919b#rd
20181210 21:14:25,我为什么如此看重1184,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247483747&idx=1&sn=90d4b3c43c084ae181d2c04635859a8b&chksm=f9089f26ce7f163092be9cb491725a960ada1afd3bfae1c5fd0453aa69f819da2f7ff7e8c2db#rd
20181208 10:54:57,上证牛熊规律（二）韵律的改变,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247483733&idx=1&sn=a2c978d24435f3e8bf66fbfe280ebe2b&chksm=f9089f10ce7f1606e905fdc122e18384b3f2827f4f90c6a76e945b2e44261276e2f29472e0f7#rd
20181207 07:21:32,上证牛熊规律（一）均线依托,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247483721&idx=1&sn=4e2fa2287a0b6dd88bd0ef2bb4cb41fd&chksm=f9089f0cce7f161a52c9230ea4ad7bdd85ece2a1eeff8e5e36c080224b00622b4cd35efbcb0f#rd
20181206 11:37:50,底部总是不平坦,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247483704&idx=1&sn=21a95697df7a226557fdac40e32e1709&chksm=f9089f7dce7f166b76ca88c1c9eb021f8b170a5eac5ebabe7181b610bf832f0bff209a5d87e5#rd
20181205 12:48:53,还在怀疑吗？,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247483699&idx=1&sn=8ae17284ab052bbd5d4004ab4b50d04b&chksm=f9089f76ce7f16600a620ec3bc8b2a24b0c8932e77408cdb182d127ee1db8c1b48dc1213e62a#rd
20181204 12:09:10,等待突破,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247483672&idx=1&sn=617acccfaadeec8f3ead75e98b3652c5&chksm=f9089f5dce7f164bd5e6f76b2363e35b5d562ceae3f1e9a9fc4977c26bef83efb571adb38ae9#rd
20181201 20:50:09,还在底部颠簸,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247483666&idx=1&sn=8daae7c897458a537002d02fe3bfd6cd&chksm=f9089f57ce7f1641d1a44c447ee2774c0f1192e6a9cbd215db1182151e6f44e8a96f4988d0e3#rd
20181124 19:43:26,可在接近10%左右下手,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247483656&idx=1&sn=874fb3aa29e88f60a5eb988d8d6380c4&chksm=f9089f4dce7f165b4c372bfe0e53d69afd6a868b4e2fdab43acced31a2ee59c2053c6d95eb3c#rd
