date,title,link
20231230 11:25:11,2023年总结与2024年展望（2023/12/30）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494605&idx=1&sn=907145f42ef1373bea8735c8aed4b2ce&chksm=f90b7588ce7cfc9e57244a0b1815d6b8e7fb713c3532ebb52b5af0b99338d8908634ef0fff90#rd
20231229 17:59:58,虐了我一年，最后给了两个枣,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494578&idx=1&sn=7a912a4c05f186a2a32d4b63af6f451b&chksm=f90b75f7ce7cfce1e1b6de54cc4bbf6a2aaf004f1ba543b3c27295650967d4e2aa988d26fc9c#rd
20231228 16:36:41,不变,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494560&idx=1&sn=6e232496ff3ad0a3d9e14eae42d199ab&chksm=f90b75e5ce7cfcf3edf852229f6019e9c12711918dad2d27ee3babbc6c101280e73578574a9e#rd
20231226 19:39:12,明天怎么走？,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494558&idx=1&sn=f13265941228c51cb8fc962b4f418297&chksm=f90b75dbce7cfccd144d2270b7da4de32dcee7b4c2b10f6c123d5d5502611f77250ab997bf4c#rd
20231223 09:58:17,下周展望（12/23）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494544&idx=1&sn=0a701a6077e9b4cc908b013e524b962b&chksm=f90b75d5ce7cfcc3549c7c0549806645f6abd03048f7efe7f4b0908624a927029f3fae9d3c91#rd
20231222 10:41:27,出圈,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494532&idx=1&sn=849dc2e8fc509b099c3943c41254e33c&chksm=f90b75c1ce7cfcd78d9e633c7cf4170be03ef8b36ae55fd65d96e58ed3cd7cb1d380c937bd2e#rd
20231221 13:52:30,先不要激动,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494523&idx=1&sn=3b0bc92d4148af4784320fb6ec03a496&chksm=f90b753ece7cfc281d4ca92bd8feee851fbdc04791dcfd1886202758343f3e5845a7148d67e3#rd
20231220 12:19:47,明天是个小转折,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494516&idx=1&sn=e2d434d5bc8a2bb1d8b328a5730e015c&chksm=f90b7531ce7cfc2750c669d3b0d04f230fe93d4b32d228b3a54b719ee95b85115ccff2719e2b#rd
20231218 16:07:17,利好还是利空？,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494506&idx=1&sn=de9e299a0a44c167347bf582aa5c90f1&chksm=f90b752fce7cfc39dc4fd8dc241884fc5147fd9f0cb43c48b843ac943dbe46e0bfe7ac48c215#rd
20231216 08:06:57,关于那个大底的猜测,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494498&idx=1&sn=d6c3b835fcb4737f1c7c9e09337c693f&chksm=f90b7527ce7cfc314ffecd0bdaa7bcf66ab7180059dd004cf5b55d4c6d715acfea7bcecd93ae#rd
20231215 19:36:20,下周展望（12/15）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494488&idx=1&sn=93314e3e006f9041845671765613cf6d&chksm=f90b751dce7cfc0b13dcea9cdc0e3029182e0a194609eec9d11eb5404744a9fca011175179e3#rd
20231214 15:36:41,我的股池,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494479&idx=1&sn=b900704e12ae0d94a82f44fb69ea15db&chksm=f90b750ace7cfc1cc68e1eb8cabd87d467577e11eb31188aa2e0bc5de9cd6b006bfe7d02bb65#rd
20231213 15:53:11,要理解后面的走势,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494464&idx=1&sn=fa2ac9ae953c151ac5de361f0b877e92&chksm=f90b7505ce7cfc137e7d2e8417cd7e5bbfedbb8af27dff2723866847ccb15cb9b7663eba2062#rd
20231212 17:05:51,你在股市挣钱？你不配！,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494455&idx=1&sn=7ca66aa1f16e98b7b22b8f9de85116a5&chksm=f90b7572ce7cfc64decf60d099a05afeb5b810b408a5ae87a8d13a74f087caf86bea8e963fdf#rd
20231211 12:16:18,双重打击,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494449&idx=1&sn=e6f7a0e853ed8e067d6e42795dde17ed&chksm=f90b7574ce7cfc623eb218146e3b937d287bfb0380a50e6ae03049a40cd85a23ee60f7caf822#rd
20231208 12:46:36,现在的逻辑,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494439&idx=1&sn=8358408deb569919d38a1c3ccd6d3c12&chksm=f90b7562ce7cfc742e20a4fe196ed7e7356030c6c875a32d0511afa304efccf89b5496af2e19#rd
20231207 13:54:39,12月7日，一个荒唐的结论,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494429&idx=1&sn=5617f862b5cab365dde50bb21a9d241d&chksm=f90b7558ce7cfc4ec9e8e0fb333f56d09a20298e00d6a84c845d3a637bd720e47b5dd92db34a#rd
20231206 15:39:59,以投机的名义,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494413&idx=1&sn=c896becc14619b327387d1d8831d794d&chksm=f90b7548ce7cfc5e5dde3b47843bb3b5a27f44a28cd2a34f81e3b65f53cdb48125a636cdbcb1#rd
20231205 18:37:37,后市如何走,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494400&idx=1&sn=133ceda1de902b73b702f498079e1d67&chksm=f90b7545ce7cfc53cd374f6d69695c6c298d76cc07f48538afaeeacf6f25a1f9a2dcad91926f#rd
20231203 16:51:17,下周展望（12/3),http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494388&idx=1&sn=4806f9cb19c886bf7408b4f813b2e015&chksm=f90b74b1ce7cfda7cc2d79532a025afa4720af09a4c028f3ba56ee2f0721a7dbbc51d5acb2bf#rd
20231130 17:55:27,后期会这样走,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494373&idx=1&sn=fc7a4e1b328ad65a9044a7c1159f4292&chksm=f90b74a0ce7cfdb6750db1c844ce454f91ad39ec28ce8b47589d18700b953b63dbe6447e0266#rd
20231129 18:38:48,大盘将在这里展开反弹,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494365&idx=1&sn=4f05edaa1bd21e7bac3f4a492bd9b405&chksm=f90b7498ce7cfd8edb4c34fb6fbdb5199c579404a73dd48a78133ec9feac6d0e2c0ce87e73f3#rd
20231128 15:14:47,明天还是震荡,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494353&idx=1&sn=81275d22f28273e4286ddbae13d5e57f&chksm=f90b7494ce7cfd82dd1a080b620deb80a427284433341e0013ad5393b6e235a19f2b8a937491#rd
20231127 17:39:50,明天会反弹吗？,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494343&idx=1&sn=bf6de92ba696ff79d608920583b6a006&chksm=f90b7482ce7cfd9465a485d089a57dfca6ff94fdc795e0df76a56aceb7a4baa15111de9e43b0#rd
20231124 18:23:07,下周展望（11/25）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494336&idx=1&sn=c19dd104a4513171113fad238c1d05da&chksm=f90b7485ce7cfd93e2a8a29aca95f59f4f7b18f27d5340d8fbda3694d95bdade93e2b99e3fc9#rd
20231123 15:37:57,急迫,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494322&idx=1&sn=7033b9bb529c95039ce9cd191b16022f&chksm=f90b74f7ce7cfde116ae1ecad1c14c77a3aa53e133de5f801de4b18694542d3d3673104de86b#rd
20231122 16:25:09,浅绿有毒,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494313&idx=1&sn=82246a5a4f8c3a2008426a582685561d&chksm=f90b74ecce7cfdfa549557954564fb9ef8f1b3aac7e325738f495a4997d2b8732fcb6c929532#rd
20231121 19:01:44,红色有毒,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494309&idx=1&sn=33876df6e57879f1d6e9fae52b55ac64&chksm=f90b74e0ce7cfdf697d436680ca570ad1d95684f065cbb8cf7a23e0b0d0736679de855adddd7#rd
20231120 17:30:03,调整没有结束,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494289&idx=1&sn=190fa98040757e381113c5a3d7c88a4a&chksm=f90b74d4ce7cfdc248fa514229802d40ea63f3a1a1059546b5fce0ece52165e9cdfbffec78ce#rd
20231118 21:07:58,下周展望（11/19）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494283&idx=1&sn=fb99a11bf434ca242428955dfc91d298&chksm=f90b74cece7cfdd82ac37f9b99726801dca621420214dc1f104c4b3582437ccf9844a113ef71#rd
20231116 17:57:16,有些麻烦,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494276&idx=1&sn=cb7f539ed3b6276b091cbb851e2bef49&chksm=f90b74c1ce7cfdd7a07fceca8c275a881a55ee0d96964b0829d730849abeb415aaa5ee083ee6#rd
20231115 19:30:28,明天再冲的话......,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494230&idx=1&sn=e52155a18f3a747652cf4549fd2e8b76&chksm=f90b7413ce7cfd05d177538b1b4a3e4eeb5a6290ddd4110d4f8d56869b0850d3ef0d165536f0#rd
20231113 13:33:06,后面怎么走,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494223&idx=1&sn=3ed900d84cb2ead86bc751201e09e8ab&chksm=f90b740ace7cfd1cffaac21f9bbbce0c3104412dc7e8a84d7b42e615f86b24212867a354b3e1#rd
20231111 21:35:05,小鹅通有短线交易方法了，对短线交易有兴趣，有时间盯盘的可以看看。,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494206&idx=1&sn=47672b75944cf14bfa31d53c8ebdb5f3&chksm=f90b747bce7cfd6d3ce6c562aecec8f79b7306e18d30354fb62ce1113e60a17b2024f2e382d6#rd
20231110 13:23:46,下周展望（11/10）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494161&idx=1&sn=8b0c603d6612f237da0a3c9cc2bbf751&chksm=f90b7454ce7cfd42dcd551c1cf719b3379500eee2e7de2340fbc966e5e04374472498464248e#rd
20231107 17:48:13,整理结束了吗？,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494154&idx=1&sn=2f4fbd43ca0c742f2d92f458a8c15ea6&chksm=f90b744fce7cfd596be9ff43ddc818e7ce3f8bff9b41bb41e01f7bf2c301973203d83be7733b#rd
20231106 16:21:37,要整理吗？,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494150&idx=1&sn=10aa7999815c4b4c10eddef00a2f5816&chksm=f90b7443ce7cfd55b2a92519f818e54d7c33d5d73647a575aa367bf1376a8e5a0abc3df377b2#rd
20231105 18:59:42,下周展望（11/4）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494143&idx=1&sn=45cef87f3e4ec4fcd6da773813418447&chksm=f90b77bace7cfeac920f80335d36ea989ebbcae2aaadae75bef03a967b07170f4b19e07a4a5a#rd
20231101 21:15:36,关于研究技术的技术,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494111&idx=1&sn=58a697ac595321020674dfd6ea15f5d5&chksm=f90b779ace7cfe8cc9b38427c9aaf95119f24659e8d86e224e59e63912f113fdf4a859789922#rd
20231031 11:48:39,变盘日在哪天,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494102&idx=1&sn=3e5961d471a239d6bc28861b860b3157&chksm=f90b7793ce7cfe85277e9b87610455a2e9298642dcd6769ebfabd36ec6fafe3116f912555dc5#rd
20231030 13:04:40,下周展望（10/29）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494096&idx=1&sn=c649ec9756df77f653e9b6709925a679&chksm=f90b7795ce7cfe83d42ec9370bea7d6cd28a2117ed955a4432fac20b5093f8f99739694189e4#rd
20231027 14:29:55,顶和底是一种数字的概率游戏,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494085&idx=1&sn=4688cc659eefa91fbd5d5c1640c440f7&chksm=f90b7780ce7cfe9651f53a828ee2aaa6c9841efd774f9c4b1e4be9c4a37d37b166c5a1e4f8c3#rd
20231024 15:58:23,接下来这样做,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494076&idx=1&sn=45fb4ed03cf798f4a084a4edfcc882ae&chksm=f90b77f9ce7cfeef8226424b64b88e56d81b3bc7457a12c4858f3ca308a029aab507afd45a7f#rd
20231023 15:49:21,我今天加仓了,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494068&idx=1&sn=ab234eeeaffaa6586c3d1397728c0b29&chksm=f90b77f1ce7cfee7e9641c9f0f5bb9dad786176c41447beccc7fcc676ffdd33d53efc74fdd70#rd
20231020 21:04:27,大胆的判断,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494063&idx=1&sn=7206c1cbd7ebbfa43e249ce501e16ddc&chksm=f90b77eace7cfefcc07179bded5d9a777a1bfd9c8d11ced8d53ed72c819e211e91b690b3ef52#rd
20231019 17:44:50,还有新低,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494046&idx=1&sn=fa3296a80473ef11541b932e6d4ba252&chksm=f90b77dbce7cfecd3df52c37136f86edeb6435c204214ee9dd54bd9d9802d863c8eb870e06b6#rd
20231018 18:15:39,最后的脸面,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494028&idx=1&sn=81d15930d07d336d00c0660a79a72173&chksm=f90b77c9ce7cfedfde0084389a27f0518b8c9df3c3b642c278bd2a89be04d7a9c5755b74e803#rd
20231018 18:02:02,最后的脸面,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494027&idx=1&sn=baf6b845ba8aca913e596438420bc5a0&chksm=f90b77cece7cfed879d4f6aa17e1387a07f27c81d35e2cb6dbf13ea85cd6341a5aabe98529ba#rd
20231017 19:35:25,在狭小的空间里鬼混,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494016&idx=1&sn=1c19eab764786df54b42dddce36b080f&chksm=f90b77c5ce7cfed3bb5d42b89aaf49f909ee127daec281cf12c9e5c1ec3cc9214f02211110f9#rd
20231016 17:56:19,这不是利好,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494009&idx=1&sn=788690538aab095498a267f36ffd872e&chksm=f90b773cce7cfe2a01f6c4c3bf6fb3b0c09218e303811a9531e219a32cd829025f24695b3adf#rd
20231015 19:18:53,下周展望（10/15),http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247494000&idx=1&sn=1c6b17d46b5459483aaeff618a5de2a4&chksm=f90b7735ce7cfe2319d28fb7bafb48ef56b5cc04059590732a58c6c50c031d9924a11bf8c0a3#rd
20231012 17:25:39,关于昨天留言的说明,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247493990&idx=1&sn=da6ec1d17fa9be28b3956029252e1059&chksm=f90b7723ce7cfe359a623040f18fd92538cf0ebda4ca7d215e3c5566759ef3f5e5053c4541d2#rd
20231011 20:08:27,今天破了周一的低点，后面仍会反弹，但是空间不会大了。应该还是会反弹到下周二左右。祝大家生活快乐！,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247493976&idx=1&sn=e0fe45b9c9f36f4dc331a11a7de5ce36&chksm=f90b771dce7cfe0b0816dbd137babc3455194c55b47e0a4d9eae4cdf6a2bad71f968805e0c08#rd
