id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,时间
4991553359578206	,NCpIHEbJc,"发布了头条文章：《逻辑，还是逻辑！》 
A股
 #a股#  
逻辑，还是逻辑！
 ","['https://m.weibo.cn/p/index?extparam=A%E8%82%A1&containerid=1008089e7cece860e8c3bf5b9c0e70925894ec', 'https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23a%E8%82%A1%23&isnewpage=1', 'https://weibo.com/ttarticle/p/show?id=2309404991553356562625']",,,,2024-01-18T15:22:02,微博 weibo.com,38,9,7,a股,,2024-01-18 15:22:02
4991118191624559	,NCeoP6OCz,等煤炭下杀，等银政保尤其是保险筑底 ,,"https://wx2.sinaimg.cn/large/8398d01dgy1hlwf3cw995j219r0xvaur.jpg,https://wx2.sinaimg.cn/large/8398d01dgy1hlwf3n3agoj215d0wvhdt.jpg,https://wx3.sinaimg.cn/large/8398d01dgy1hlwf3yhcqtj21750ybnpd.jpg",,,2024-01-17T10:32:49,微博网页版,17,5,3,,,2024-01-17 10:32:49
4989408363941751	,NBvV2gxqD,中信萎靡的原因，还有保险也是这种死样子，这叫拿货走势 ,,"https://wx2.sinaimg.cn/large/8398d01dgy1hlqyq83srpj20u01skn3y.jpg,https://wx4.sinaimg.cn/large/8398d01dgy1hlqyq8mxg9j20u01sk7dp.jpg",,,2024-01-12T17:18:35,HUAWEI Mate 40 Pro,12,3,0,,,2024-01-12 17:18:35
4987860767999386	,NAREUxz0m,2882再碰下就完了，一直磨磨唧唧，前面聊过这里不是拉升，也没拉升的欲望，最近的走势就是验证，既然判断没变，也没多发微博的欲望，公号继续暂停，没啥新鲜的观点，上面的管控依然高压，动不动就封号，继续熬，春季行情依然看好 ,,,,,2024-01-08T10:49:00,微博网页版,16,4,0,,,2024-01-08 10:49:00
4983863166632494	,NzbFarPpI,分享图片 ,,https://wx4.sinaimg.cn/large/8398d01dgy1hl99w1ja75j20sp0nzk7b.jpg,,,2023-12-28T10:03:57,微博网页版,15,1,0,,,2023-12-28 10:03:57
4981739122328405	,Nyipi9LIV,一纸文件把高标集中的AI都干死了，好事情，希望可以风格切换 ,,,,,2023-12-22T13:23:45,微博网页版,16,4,1,,,2023-12-22 13:23:45
4981403955760397	,Ny9GHoaxD,筹码依然没拿够，大金融的银政保形态都不太对，高标题材依然没有出清，所以这里依然不会有大反弹，也并没有拉升意愿 ,,,,,2023-12-21T15:11:56,微博网页版,20,5,0,,,2023-12-21 15:11:56
4977782845081681	,NwDucljYB,就这些吧 ,,"https://wx4.sinaimg.cn/large/8398d01dgy1hkpvk3jnjhj21970tbtov.jpg,https://wx4.sinaimg.cn/large/8398d01dgy1hkpvkfqnixj215l0u1dv1.jpg,https://wx4.sinaimg.cn/large/8398d01dgy1hkpvkn6o2sj217h0mh7mz.jpg",,,2023-12-11T15:22:56,微博网页版,20,9,5,,,2023-12-11 15:22:56
4976250513524214	,NvZCHeMOa,调整差不多了，某队要干活了 ,,,,,2023-12-07T09:53:59,微博网页版,17,6,0,,,2023-12-07 09:53:59
4973710665057661	,NuVyaldJb,一直聊的真增量快来了，只要这些真自己人没建仓完成，那么市场是不会允许起来的，就两大真增量，一个是中字头的巨幅增值，一个是保险的松绑入场，所以继续耐心等吧 ,,https://wx3.sinaimg.cn/large/8398d01dgy1hkcvupbz0bj211c250wp7.jpg,,,2023-11-30T09:41:32,微博网页版,23,5,5,,,2023-11-30 09:41:32
4972636203388146	,NutBaedpw,分享图片 ,,"https://wx3.sinaimg.cn/large/8398d01dgy1hk9ghg0xlbj20y50hhww6.jpg,https://wx3.sinaimg.cn/large/8398d01dgy1hk9ghogqfmj20yh08pn0b.jpg",,,2023-11-27T10:32:01,微博网页版,8,0,0,,,2023-11-27 10:32:01
4972626679958063	,NutlNFMxV,券商的看法也是没变，这周再收一个周阴线就差不多 ,,https://wx1.sinaimg.cn/large/8398d01dgy1hk9fdyn3a6j21190g9q9k.jpg,,,2023-11-27T09:54:10,微博网页版,8,3,0,,,2023-11-27 09:54:10
4972626444290622	,Nutlqi0bA,继续看北交所独舞，看监管态度，主板这里继续磨，汇率走强的情况下，不用担心 ,,,,,2023-11-27T09:53:14,微博网页版,11,1,0,,,2023-11-27 09:53:14
4970887917863456	,NtK7lwZDW,急速轮动的内卷，目前整个 市场都在看北交所独舞，在软妹子大幅升值的预期下，指数回踩就是加的机会，其他观点不变，AI这里依然看阶段性顶部 ,,,,,2023-11-22T14:44:56,微博网页版,10,2,0,,,2023-11-22 14:44:56
4970445119950269	,NtyB9FKwd,分享图片 ,,https://wx2.sinaimg.cn/large/8398d01dgy1hk2gul6iuuj20tj0kddmp.jpg,,,2023-11-21T09:25:26,微博网页版,8,0,0,,,2023-11-21 09:25:26
4970158578730164	,Ntr8ZAD76,"A股
 ",,"https://wx1.sinaimg.cn/large/8398d01dgy1hk1jxkl8e7j20up0vj4ai.jpg,https://wx1.sinaimg.cn/large/8398d01dgy1hk1jxslwb9j21530ttx0l.jpg",,,2023-11-20T14:26:49,微博网页版,10,2,0,,,2023-11-20 14:26:49
4970091428970932	,NtpoGBDKs,依然是快速轮动状态，市场资金不聚焦，那么就无法破局，依然是指数最稳，软妹子大幅走强的情况下，市场无需担心短期的波动 ,,,,,2023-11-20T09:59:59,微博网页版,10,1,0,,,2023-11-20 09:59:59
4969018890389635	,NsXuN1Dmr,光伏和锂矿，要格外关注，有点异动的意思 ,,,,,2023-11-17T10:58:06,微博网页版,10,2,0,,,2023-11-17 10:58:06
4968820959613978	,NsSlxEl2a,能说啥呢 ,,https://wx4.sinaimg.cn/large/8398d01dgy1hjxabdlw5lj20u01pvag8.jpg,,,2023-11-16T21:51:36,HUAWEI Mate 40 Pro,4,2,1,,,2023-11-16 21:51:36
4968280877433053	,NsEirvbFX,分享图片 ,,https://wx2.sinaimg.cn/large/8398d01dgy1hjvkaeiicsj21al0utn7k.jpg,,,2023-11-15T10:05:29,微博网页版,9,2,0,,,2023-11-15 10:05:29
4968002680524221	,Nsx3K2cnb,再补充下逻辑 ,,"https://wx1.sinaimg.cn/large/8398d01dgy1hjuobxpc84j219l0uth6w.jpg,https://wx2.sinaimg.cn/large/8398d01dgy1hjuoc7l47fj219f0od4c3.jpg",,,2023-11-14T15:40:03,微博网页版,9,5,0,,,2023-11-14 15:40:03
4967927675096241	,Nsv6LlnLr,提示的很及时了，只是字打错了 ，放个老的群聊记录 ,,"https://wx1.sinaimg.cn/large/8398d01dgy1hjufpkkn28j21050mfqe4.jpg,https://wx3.sinaimg.cn/large/8398d01dgy1hjufpv2bfsj20xn0s1ap7.jpg",,,2023-11-14T10:42:00,微博网页版,11,2,0,,,2023-11-14 10:42:00
4966472466301916	,NrTfEqrpO,A股#今日股市# 群里逻辑 ,,"https://wx3.sinaimg.cn/large/8398d01dgy1hjpsk96xocj20pz0mxk7d.jpg,https://wx2.sinaimg.cn/large/8398d01dgy1hjpskhxn35j20q90kb7i9.jpg,https://wx3.sinaimg.cn/large/8398d01dgy1hjpskofnyrj20qv0m5n87.jpg,https://wx1.sinaimg.cn/large/8398d01dgy1hjpskt2lhtj20ox0efk0n.jpg",,,2023-11-10T10:19:31,微博网页版,20,4,1,今日股市,,2023-11-10 10:19:31
