id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,时间
4989303698752417	,NBtcdAIU1,"虽然是看不到持续性的反弹 但是很好了
新能源也该企稳 很多分支其实未来增速也很不错 ",,https://wx4.sinaimg.cn/large/006msER5gy1hlqmp0ehi4j30zu1og12g.jpg,,,2024-01-12T10:22:41,iPhone 14 Pro Max,618,0,9,,,2024-01-12 10:22:41
4990451035669034	,NBX2LnMM2,量能还在跌，大家都懂 ,,https://wx4.sinaimg.cn/large/006msER5gy1hluahrl8j2j30tp0kj43z.jpg,,,2024-01-15T14:21:47,微博网页版,454,0,5,,,2024-01-15 14:21:47
4990398892084736	,NBVGF8KkM,"很平均的反弹
 ",,https://wx4.sinaimg.cn/large/006msER5gy1hlu4i6rs87j30zu25onjx.jpg,,,2024-01-15T10:54:36,iPhone 14 Pro Max,439,0,4,,,2024-01-15 10:54:36
4990381057907110	,NBVdTxb02,"消费类的复苏预期，虽然是在炒股价
但实际大家对经济的预期，以及增长，都。。。。 ",,,,,2024-01-15T09:43:44,微博网页版,594,0,3,,,2024-01-15 09:43:44
4990380402278423	,NBVcQ9yIL,"零散，无太大突出热点
继续缩量，无聊的行情 ",,,,,2024-01-15T09:41:06,微博网页版,479,0,3,,,2024-01-15 09:41:06
4990377062303327	,NBV7s9Fcr,业绩超预期的锦泓集团，全市场顶的最死，意味着业绩潮炒作来临 ,,,,,2024-01-15T09:27:51,微博网页版,529,0,4,,,2024-01-15 09:27:51
4990451035669034	,NBX2LnMM2,量能还在跌，大家都懂 ,,https://wx4.sinaimg.cn/large/006msER5gy1hluahrl8j2j30tp0kj43z.jpg,,,2024-01-15T14:21:47,微博网页版,463,0,5,,,2024-01-15 14:21:47
4990398892084736	,NBVGF8KkM,"很平均的反弹
 ",,https://wx4.sinaimg.cn/large/006msER5gy1hlu4i6rs87j30zu25onjx.jpg,,,2024-01-15T10:54:36,iPhone 14 Pro Max,441,0,4,,,2024-01-15 10:54:36
4990381057907110	,NBVdTxb02,"消费类的复苏预期，虽然是在炒股价
但实际大家对经济的预期，以及增长，都。。。。 ",,,,,2024-01-15T09:43:44,微博网页版,596,0,3,,,2024-01-15 09:43:44
4990380402278423	,NBVcQ9yIL,"零散，无太大突出热点
继续缩量，无聊的行情 ",,,,,2024-01-15T09:41:06,微博网页版,479,0,3,,,2024-01-15 09:41:06
4990377062303327	,NBV7s9Fcr,业绩超预期的锦泓集团，全市场顶的最死，意味着业绩潮炒作来临 ,,,,,2024-01-15T09:27:51,微博网页版,532,0,4,,,2024-01-15 09:27:51
