id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,时间
4988351396708722	,NB4qfs9fc,"发布了头条文章：《状况——静心观市240109》  
状况——静心观市240109
 ",['https://weibo.com/ttarticle/p/show?id=2309404988351395529067'],,,,2024-01-09T19:18:34,微博 weibo.com,3,0,0,,,2024-01-09 19:18:34
4988287710399431	,NB2Lx1FUr,"发布了头条文章：《考虑的问题。利弗莫尔：1.9复盘记录》  
考虑的问题。利弗莫尔：1.9复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404988287713411181'],,,,2024-01-09T15:05:31,微博 weibo.com,19,9,0,,,2024-01-09 15:05:31
4987982194936154	,NAUOLkI7o,"发布了头条文章：《空——静心观市240108》  
空——静心观市240108
 ",['https://weibo.com/ttarticle/p/show?id=2309404987982196375623'],,,,2024-01-08T18:51:30,微博 weibo.com,5,0,0,,,2024-01-08 18:51:30
4987929388908687	,NATrABnyv,"发布了头条文章：《再保卫吗。利弗莫尔：1.8复盘记录》  
再保卫吗。利弗莫尔：1.8复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404987929385894325'],,,,2024-01-08T15:21:39,微博 weibo.com,24,6,0,,,2024-01-08 15:21:39
4988351396708722	,NB4qfs9fc,"发布了头条文章：《状况——静心观市240109》  
状况——静心观市240109
 ",['https://weibo.com/ttarticle/p/show?id=2309404988351395529067'],,,,2024-01-09T19:18:34,微博 weibo.com,3,0,0,,,2024-01-09 19:18:34
4988287710399431	,NB2Lx1FUr,"发布了头条文章：《考虑的问题。利弗莫尔：1.9复盘记录》  
考虑的问题。利弗莫尔：1.9复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404988287713411181'],,,,2024-01-09T15:05:31,微博 weibo.com,19,9,0,,,2024-01-09 15:05:31
4987982194936154	,NAUOLkI7o,"发布了头条文章：《空——静心观市240108》  
空——静心观市240108
 ",['https://weibo.com/ttarticle/p/show?id=2309404987982196375623'],,,,2024-01-08T18:51:30,微博 weibo.com,5,0,0,,,2024-01-08 18:51:30
4987929388908687	,NATrABnyv,"发布了头条文章：《再保卫吗。利弗莫尔：1.8复盘记录》  
再保卫吗。利弗莫尔：1.8复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404987929385894325'],,,,2024-01-08T15:21:39,微博 weibo.com,24,6,0,,,2024-01-08 15:21:39
4986896238777983	,NAszdAPyn,"发布了头条文章：《弱——静心观市240105》  
弱——静心观市240105
 ",['https://weibo.com/ttarticle/p/show?id=2309404986896240476297'],,,,2024-01-05T18:56:18,微博 weibo.com,6,0,0,,,2024-01-05 18:56:18
4986570035432819	,NAk55mNk7,"发布了头条文章：《红利低波——静心观市240104》  
红利低波——静心观市240104
 ",['https://weibo.com/ttarticle/p/show?id=2309404986570037133741'],,,,2024-01-04T21:20:05,微博 weibo.com,7,0,0,,,2024-01-04 21:20:05
4986484002128550	,NAhQk8VJs,"发布了头条文章：《扶不起。利弗莫尔：1.4复盘记录》  
扶不起。利弗莫尔：1.4复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404986483999113487'],,,,2024-01-04T15:38:13,微博 weibo.com,22,6,0,,,2024-01-04 15:38:13
4986181572362544	,NA9Yx9UBy,"发布了头条文章：《对标——静心观市240103》  
对标——静心观市240103
 ",['https://weibo.com/ttarticle/p/show?id=2309404986181569086052'],,,,2024-01-03T19:36:27,微博 weibo.com,3,0,0,,,2024-01-03 19:36:27
